epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,20588.1,0.58041,0.29807,0.80087,0.99763,0.99996,0.995,0.86771,0.73352,0.32479,0.80906,0.000671044,0.000671044,0.000671044
62,20913.5,0.60826,0.30659,0.80466,0.996,0.99951,0.995,0.85811,0.77191,0.32749,0.81164,0.000663711,0.000663711,0.000663711
63,21235.1,0.61024,0.3059,0.80383,0.99769,1,0.995,0.8691,0.72747,0.31872,0.80923,0.000656379,0.000656379,0.000656379
64,21581.5,0.59971,0.30041,0.7999,0.99687,1,0.995,0.86497,0.74678,0.32433,0.80939,0.000649046,0.000649046,0.000649046
65,21920.6,0.59489,0.30147,0.79888,0.99748,1,0.995,0.87511,0.71931,0.32341,0.80909,0.000641714,0.000641714,0.000641714
66,22247,0.5914,0.29929,0.80472,0.99653,1,0.995,0.8723,0.72972,0.31419,0.80992,0.000634381,0.000634381,0.000634381
67,22569.5,0.58599,0.29725,0.79957,0.99681,1,0.995,0.86669,0.7394,0.32147,0.80937,0.000627048,0.000627048,0.000627048
68,22896,0.59253,0.29273,0.80427,0.99585,1,0.995,0.86555,0.74683,0.32936,0.81157,0.000619716,0.000619716,0.000619716
69,23228.5,0.58826,0.29378,0.79966,0.99668,1,0.995,0.87382,0.7096,0.31839,0.80771,0.000612383,0.000612383,0.000612383
70,23565.1,0.59562,0.30153,0.80045,0.9959,1,0.995,0.87477,0.74213,0.33382,0.80955,0.000605051,0.000605051,0.000605051
71,23890.1,0.57457,0.29081,0.80022,0.99683,1,0.995,0.87759,0.71479,0.32466,0.80845,0.000597718,0.000597718,0.000597718
72,24213.4,0.58594,0.2945,0.79957,0.99671,1,0.995,0.86451,0.73063,0.32037,0.80971,0.000590385,0.000590385,0.000590385
73,24538.2,0.60209,0.29977,0.80361,0.99518,1,0.995,0.87355,0.7225,0.31563,0.80908,0.000583053,0.000583053,0.000583053
74,24860.1,0.58638,0.29395,0.79968,0.99616,1,0.995,0.86798,0.71572,0.31803,0.80973,0.00057572,0.00057572,0.00057572
75,25184.7,0.57621,0.29051,0.80016,0.99701,1,0.995,0.87375,0.71294,0.31435,0.80909,0.000568388,0.000568388,0.000568388
76,25513.3,0.58831,0.29539,0.79893,0.99532,1,0.995,0.87517,0.73755,0.31945,0.8094,0.000561055,0.000561055,0.000561055
77,25837.1,0.57201,0.28962,0.79951,0.99545,1,0.995,0.86835,0.73544,0.31991,0.81055,0.000553722,0.000553722,0.000553722
78,26165.5,0.5854,0.29472,0.8027,0.99549,1,0.995,0.87068,0.7383,0.31879,0.81144,0.00054639,0.00054639,0.00054639
79,26488.7,0.59416,0.29963,0.80328,0.99637,1,0.995,0.87632,0.73611,0.32218,0.80965,0.000539057,0.000539057,0.000539057
80,26809.5,0.58528,0.29371,0.80038,0.9966,1,0.995,0.86705,0.73147,0.32048,0.81163,0.000531725,0.000531725,0.000531725
81,27129.7,0.57397,0.29249,0.7975,0.99628,1,0.995,0.86881,0.72766,0.33321,0.80964,0.000524392,0.000524392,0.000524392
82,27466.6,0.57868,0.29168,0.7994,0.99588,1,0.995,0.87323,0.7152,0.31461,0.81033,0.000517059,0.000517059,0.000517059
83,27790.7,0.57563,0.28715,0.79952,0.99739,1,0.995,0.8696,0.71242,0.31393,0.80925,0.000509727,0.000509727,0.000509727
84,28128.1,0.5697,0.28455,0.79873,0.99645,1,0.995,0.86403,0.72605,0.32053,0.81063,0.000502394,0.000502394,0.000502394
85,28462.3,0.56564,0.28764,0.80023,0.99635,1,0.995,0.87181,0.72391,0.31778,0.81096,0.000495062,0.000495062,0.000495062
86,28784.1,0.57263,0.29115,0.79923,0.9958,1,0.995,0.87067,0.73287,0.32045,0.81222,0.000487729,0.000487729,0.000487729
87,29130.5,0.56496,0.28878,0.79707,0.99682,1,0.995,0.86553,0.73517,0.31775,0.80974,0.000480396,0.000480396,0.000480396
88,29454.9,0.56602,0.28505,0.79673,0.99617,1,0.995,0.87512,0.71339,0.32179,0.80884,0.000473064,0.000473064,0.000473064
89,29779.1,0.56178,0.28701,0.79792,0.99646,1,0.995,0.87692,0.69647,0.31973,0.8069,0.000465731,0.000465731,0.000465731
90,30113.7,0.56238,0.28608,0.79868,0.99599,1,0.995,0.87839,0.7201,0.31128,0.80905,0.000458399,0.000458399,0.000458399
91,30444.8,0.57043,0.29048,0.79737,0.99851,1,0.995,0.87458,0.71796,0.32332,0.80995,0.000451066,0.000451066,0.000451066
92,30772.2,0.56427,0.28579,0.79786,0.99703,1,0.995,0.87596,0.71489,0.31551,0.80931,0.000443733,0.000443733,0.000443733
93,31104.2,0.56183,0.2864,0.80123,0.99695,1,0.995,0.87796,0.70465,0.31276,0.80927,0.000436401,0.000436401,0.000436401
94,31429,0.55329,0.28051,0.79994,0.9961,1,0.995,0.87936,0.697,0.30978,0.80854,0.000429068,0.000429068,0.000429068
95,31751.1,0.54541,0.27915,0.79702,0.99644,1,0.995,0.87692,0.73461,0.32022,0.81071,0.000421736,0.000421736,0.000421736
96,32081.1,0.56684,0.28743,0.79667,0.99629,0.99981,0.995,0.8677,0.7386,0.32478,0.81082,0.000414403,0.000414403,0.000414403
97,32408.4,0.56843,0.28417,0.80312,0.99627,1,0.995,0.88066,0.69787,0.31114,0.80756,0.00040707,0.00040707,0.00040707
98,32737.4,0.55491,0.28056,0.79779,0.99681,1,0.995,0.87403,0.7084,0.31652,0.80953,0.000399738,0.000399738,0.000399738
99,33061.3,0.55438,0.27782,0.79643,0.99673,1,0.995,0.86435,0.73579,0.31629,0.81099,0.000392405,0.000392405,0.000392405
100,33386.1,0.54542,0.27432,0.79901,0.99709,1,0.995,0.87697,0.71974,0.30958,0.8093,0.000385073,0.000385073,0.000385073
101,33724.6,0.5594,0.27981,0.79823,0.99575,1,0.995,0.87985,0.71205,0.30407,0.80745,0.00037774,0.00037774,0.00037774
102,34052.7,0.53836,0.27018,0.79942,0.99703,1,0.995,0.8795,0.71612,0.30497,0.80771,0.000370407,0.000370407,0.000370407
103,34381.9,0.54631,0.27434,0.79815,0.99666,1,0.995,0.89169,0.69111,0.30108,0.80688,0.000363075,0.000363075,0.000363075
104,34736.7,0.54943,0.27997,0.79743,0.99603,1,0.995,0.8716,0.7192,0.31433,0.80829,0.000355742,0.000355742,0.000355742
105,35090.3,0.54002,0.27465,0.79486,0.99718,1,0.995,0.87354,0.71561,0.30872,0.80937,0.00034841,0.00034841,0.00034841
106,35444,0.53695,0.27194,0.79556,0.99707,1,0.995,0.87475,0.705,0.30542,0.80987,0.000341077,0.000341077,0.000341077
